sentiment,text,sentiment_label,timestamp,platform,geolocation,label,predicted_label,predicted_sentiment,prob_negative,prob_neutral,prob_positive,confidence,sentiment_score
-1,"climate change is doing as much good to our planet as bad. Better crops, less death, etc. We headed into cycle cold period",Negative,2024-02-27 19:00:00,Twitter,Unknown,0,2,Positive,0.00036018956,0.000632952,0.9990069,0.9990069,0.99864674
-1,News post: 'Sally Kohn’s latest evidence of climate change proves she is ‘not a smart person’',Negative,2024-08-21 06:00:00,Twitter,Unknown,0,0,Negative,0.9968886,0.002198219,0.00091321295,0.9968886,-0.9959754
0,When illiterate and #JaahilPMModi spoke to students on climate change... irony died a thousand deaths,Neutral,2024-07-24 10:00:00,Twitter,Unknown,1,1,Neutral,0.03486346,0.9631455,0.0019909653,0.9631455,-0.032872494
1,Why the hell is Andrew Neil retweeting climate change deniers Global Warming Policy Forum? I've long suspected he lâ€¦,Positive,2025-09-06 02:00:00,Twitter,Unknown,2,2,Positive,0.00012860294,0.0017356267,0.9981358,0.9981358,0.9980072
1,hates muslims hates women hates POC hates LGBTQ hates disabled doesnÃ¢â‚¬â„¢t believe in climate change leads in polls,Positive,2024-02-07 13:00:00,Twitter,Unknown,2,2,Positive,0.00022834692,0.011043958,0.9887277,0.9887277,0.98849934
0,"And, won't stop Global Warming which is, ermm, NOT happening. Black is the new white.",Neutral,2026-01-28 17:00:00,Twitter,Unknown,1,2,Positive,0.016505355,0.011266274,0.97222835,0.97222835,0.955723
1,The sea floor is sinking under the weight of climate change,Positive,2025-07-02 10:00:00,Twitter,Unknown,2,2,Positive,0.00017726014,0.00029898432,0.99952376,0.99952376,0.9993465
1,"Storing carbon inqsoils of crop, grazing & rangelands offers ag's highest potential source of climate change mitigafion.",Positive,2024-11-05 03:00:00,Twitter,Unknown,2,2,Positive,0.00018681031,0.00039290832,0.9994203,0.9994203,0.9992335
0,They use to ask me who my inspiration was & I said global warming,Neutral,2025-06-27 11:00:00,Twitter,Unknown,1,1,Neutral,0.0007913402,0.99790764,0.0013010266,0.99790764,0.00050968636
-1,"'If we don't kill the babies, global warming will end up killing the babies.'",Negative,2026-06-10 07:00:00,Twitter,Unknown,0,2,Positive,0.003849018,0.2949787,0.70117223,0.70117223,0.6973232
0,Winter Olympics' cold weather chills global warming hype,Neutral,2026-01-14 20:00:00,Twitter,Unknown,1,0,Negative,0.9975878,0.0016480947,0.00076403684,0.9975878,-0.9968238
1,Effect of methane on climate change could be 25% greater than we thought via,Positive,2024-06-25 10:00:00,Twitter,Unknown,2,2,Positive,0.00018228104,0.0006846294,0.99913317,0.99913317,0.9989509
1,I don't get why climate change is a political issue when it is clearly a scientific fact.,Positive,2024-01-02 14:00:00,Twitter,Unknown,2,2,Positive,0.001143309,0.0007618651,0.99809486,0.99809486,0.9969515
-1,Pentagon erases 'climate change' from the National Defense threat list via,Negative,2025-09-16 16:00:00,Twitter,Unknown,0,0,Negative,0.5300896,0.4384413,0.03146904,0.5300896,-0.49862057
0,As for climate change we are in for a major awakening if the Magnetic Poles are shifting while we chase CO2 Emissions ... Oâ€¦,Neutral,2025-11-07 16:00:00,Twitter,Unknown,1,2,Positive,0.008870374,0.0027882431,0.9883414,0.9883414,0.979471
1,Trump's put a climate change denier in charge of the EPA?,Positive,2024-02-17 22:00:00,Twitter,Unknown,2,2,Positive,0.00017419492,0.0004228009,0.999403,0.999403,0.9992288
1,Head of EPA denies carbon dioxide causes global warming – video - The Guardian,Positive,2024-08-20 10:00:00,Twitter,Unknown,2,2,Positive,0.00032022817,0.00035239916,0.9993274,0.9993274,0.99900717
-1,"It was 42 degrees this morning, calm down, climate change alarmists.",Negative,2025-03-24 21:00:00,Twitter,Unknown,0,0,Negative,0.99520725,0.0024760384,0.0023166982,0.99520725,-0.99289054
0,Hispanic Catholics are most alarmed about climate change; white catholics are the least worried. These arguments tâ€¦,Neutral,2025-06-17 13:00:00,Twitter,Unknown,1,1,Neutral,0.0019100198,0.99381024,0.0042798067,0.99381024,0.002369787
1,"By 2050, there will be 200 million people displaced by climate change related impacts.",Positive,2024-11-28 18:00:00,Twitter,Unknown,2,2,Positive,0.00017325644,0.00033850918,0.99948823,0.99948823,0.99931496
1,"If we don't take action to curb climate change, storms like #Harvey will just keep on getting worse.",Positive,2025-03-20 16:00:00,Twitter,Unknown,2,2,Positive,0.0002709558,0.00031593765,0.99941313,0.99941313,0.99914217
0,"Terror, deficit, immigration, drug traffic, insurgents. global warming, Green house effect, space exploration, Crime, Health, Peace & Love",Neutral,2026-03-12 17:00:00,Twitter,Unknown,1,1,Neutral,0.0067765648,0.82842547,0.16479802,0.82842547,0.15802145
1,I'm not planet Earth but I am very concerned about climate change and want to change destructive human behavior.,Positive,2025-09-21 11:00:00,Twitter,Unknown,2,2,Positive,0.00018115669,0.00062466785,0.9991942,0.9991942,0.99901307
0,Thatvwould be global warming...i am not being tongue in cheek but change in enviroment..,Neutral,2026-01-13 21:00:00,Twitter,Unknown,1,1,Neutral,0.017448377,0.9811872,0.0013644428,0.9811872,-0.016083933
1,"Trump talking about the devastating flooding of Hurricane Harvey. But he denies climate change, and there are studies thaâ€¦",Positive,2025-11-26 21:00:00,Twitter,Unknown,2,2,Positive,0.00016726117,0.00042645866,0.99940634,0.99940634,0.9992391
1,You just know climate change is real when it's this cloudy on the first day of the Leaving Cert.,Positive,2025-01-17 03:00:00,Twitter,Unknown,2,2,Positive,0.00028562517,0.002138276,0.99757606,0.99757606,0.99729043
1,and you know what? methane emissions are NOT CONSIDERED in the climate change models/projections/plans relâ€¦,Positive,2026-01-10 01:00:00,Twitter,Unknown,2,2,Positive,0.0004436218,0.0013190887,0.99823725,0.99823725,0.9977936
-1,"John Kerry lands in Antarctica, he can now officially say he's looked everywhere 4 global warming and can't find it",Negative,2024-03-02 22:00:00,Twitter,Unknown,0,0,Negative,0.99664587,0.0023031288,0.001050956,0.99664587,-0.9955949
0,"Today, this little girl I work with said this: â€œKaysee started global warming and Trump stopped it.â€ The children are our future. ðŸ™ƒ",Neutral,2025-08-09 13:00:00,Twitter,Unknown,1,1,Neutral,0.003970473,0.8359342,0.16009533,0.8359342,0.15612486
1,The one number that shows why climate change is making hurricane season worse,Positive,2025-04-01 21:00:00,Twitter,Unknown,2,2,Positive,0.00014762593,0.00035243933,0.9994999,0.9994999,0.9993523
1,Rick Perry is climate change denier who wanted to abolish DOE. Not fit to run it! VOTE NO!,Positive,2024-06-24 05:00:00,Twitter,Unknown,2,2,Positive,0.00028000114,0.0002837614,0.9994362,0.9994362,0.9991562
-1,Seems like a bunch of Londoners were injured today by the 'biggest threat to humanity': climate change.,Negative,2025-01-11 04:00:00,Twitter,Unknown,0,0,Negative,0.96688807,0.028827883,0.004284067,0.96688807,-0.962604
1,when florida drowns because of climate change,Positive,2024-02-08 04:00:00,Twitter,Unknown,2,2,Positive,0.0002122455,0.0005499111,0.9992379,0.9992379,0.99902564
1,"Animal farming is bad for environment, it adds to global warming & depletes natural resources. Please read",Positive,2025-04-13 23:00:00,Twitter,Unknown,2,2,Positive,0.00028962654,0.00043294486,0.9992774,0.9992774,0.9989878
1,This is what climate change deniers sound like to everyone else: #MicDrop #ActOnClimate,Positive,2026-02-15 03:00:00,Twitter,Unknown,2,2,Positive,0.00019355053,0.0002940062,0.99951243,0.99951243,0.9993189
1,it's a waste of wood and causes global warming tho. Killing trees for no reason,Positive,2024-01-18 03:00:00,Twitter,Unknown,2,2,Positive,0.016400408,0.38832167,0.59527797,0.59527797,0.57887757
0,Sandstorms: Day II. Fuck father time's and mother nature's inbred offspring that is climate change.,Neutral,2024-09-13 10:00:00,Twitter,Unknown,1,1,Neutral,0.0075278957,0.9364974,0.055974673,0.9364974,0.04844678
1,"For the first time, a mammal species is extinct because of human-induced climate change",Positive,2026-05-17 04:00:00,Twitter,Unknown,2,2,Positive,0.00022519457,0.00025869012,0.9995161,0.9995161,0.99929094
1,Let's educate ourselves of what climate change is. #2DegreesPanahonNa,Positive,2026-03-22 15:00:00,Twitter,Unknown,2,2,Positive,0.000166404,0.00035631834,0.9994773,0.9994773,0.9993109
1,The Age of Theory is done. We are in the new era of Climate Change. -Maam Charo #MagpasikatAnneKimEruption,Positive,2026-02-28 22:00:00,Twitter,Unknown,2,1,Neutral,0.2709199,0.6208942,0.108185865,0.6208942,-0.16273403
1,Meet 9 badass women fighting climate change in cities #climate #women #women4climate,Positive,2024-10-01 04:00:00,Twitter,Unknown,2,2,Positive,0.00019204403,0.00029787055,0.99951005,0.99951005,0.999318
0,It's EXTREMELY disappointing when I think of a BOMB AF layered winter look that I want to wear but I remember that global warming exists,Neutral,2024-12-15 23:00:00,Twitter,Unknown,1,2,Positive,0.0005328268,0.004288881,0.99517834,0.99517834,0.99464554
1,"If climate change goes unchecked, many areas in southern Europe could become deserts. #scary",Positive,2024-01-01 18:00:00,Twitter,Unknown,2,2,Positive,0.00021948297,0.00026833435,0.9995122,0.9995122,0.99929273
-1,I just read a so called scientific article claiming global warming us causing this cold winâ€¦,Negative,2025-06-16 13:00:00,Twitter,Unknown,0,0,Negative,0.9865306,0.012967464,0.0005019334,0.9865306,-0.9860287
1,"climate change is a global crisis already having tragic effects, especially on the world's poor",Positive,2025-03-10 20:00:00,Twitter,Unknown,2,2,Positive,0.00024408323,0.000259854,0.9994961,0.9994961,0.999252
1,"Hurricane Harvey - New norm, exacerbated by climate change. We can avoid worse storms if we build a clean renewable future #Harvey",Positive,2025-03-22 07:00:00,Twitter,Unknown,2,2,Positive,0.0002102352,0.00029449895,0.99949527,0.99949527,0.99928504
1,I agree global warming/climate change will increase the number of refugees. The world willâ€¦,Positive,2025-05-22 05:00:00,Twitter,Unknown,2,2,Positive,0.00034652962,0.003960126,0.9956934,0.9956934,0.99534684
0,You're so 🔥 you must've started global warming. 🙊,Neutral,2024-05-04 02:00:00,Twitter,Unknown,1,1,Neutral,0.00090877106,0.99817836,0.00091290707,0.99817836,4.1360036e-06
1,"We are parsing the definition of 'lie' while millions loose health care, and global warming has become a 'lie'.",Positive,2024-07-08 18:00:00,Twitter,Unknown,2,2,Positive,0.00033709418,0.00061428477,0.99904865,0.99904865,0.9987115
1,"The concept of “value” is shifting beyond monetary returns..towards..legacy, climate change and sustainable choice'",Positive,2024-09-08 20:00:00,Twitter,Unknown,2,2,Positive,0.0004676397,0.0019347151,0.99759763,0.99759763,0.99713
1,Trump thinks climate change isn't real because it's cold out. This map proves him wrong'. - Vox,Positive,2025-06-02 10:00:00,Twitter,Unknown,2,2,Positive,0.00022263077,0.0003311673,0.9994462,0.9994462,0.9992236
1,"But don't worry, climate change isn't real...ðŸ¤·ðŸ»â€â™‚ï¸",Positive,2025-08-15 20:00:00,Twitter,Unknown,2,2,Positive,0.2883595,0.15054707,0.56109345,0.56109345,0.27273396
0,*human involvement with climate change,Neutral,2024-07-03 01:00:00,Twitter,Unknown,1,2,Positive,0.00013376006,0.00070021517,0.999166,0.999166,0.99903226
1,2-Degree Global Warming Target 'Utterly Inadequate' #climatechange #climateaction #ClimateJustice #globalwarming,Positive,2026-03-23 05:00:00,Twitter,Unknown,2,2,Positive,0.00046734538,0.00037747275,0.99915516,0.99915516,0.9986878
1,How climate change has already affected the earth ➡️,Positive,2025-02-20 06:00:00,Twitter,Unknown,2,2,Positive,0.00015564947,0.00028469262,0.9995597,0.9995597,0.9994041
1,What happens when leaders from around the world come together to fight climate change? Find out here.,Positive,2025-05-18 07:00:00,Twitter,Unknown,2,2,Positive,0.00015269367,0.00051552424,0.9993318,0.9993318,0.99917907
1,i'm literally the only person in my family who believes global warming is a thing 🤦🏼‍♂️ it's time to head back to civilization,Positive,2024-06-04 21:00:00,Twitter,Unknown,2,2,Positive,0.00055323343,0.0008471687,0.9985996,0.9985996,0.99804634
0,Whoah. I sense tongue-in-cheek in that article. Did global warming melt your sense of humor as well as your glaciers;-),Neutral,2024-10-18 00:00:00,Twitter,Unknown,1,1,Neutral,0.0035802908,0.9955331,0.00088666263,0.9955331,-0.0026936282
0,climate change is honestly so rude,Neutral,2024-08-29 03:00:00,Twitter,Unknown,1,1,Neutral,0.0038872177,0.95633173,0.039781086,0.95633173,0.03589387
1,"Donald proposed banning an entire religion,encouraged violence at his rallies,called global warming a hoax but yeaa how do you choose Ã°Å¸Â¤â€",Positive,2024-02-05 05:00:00,Twitter,Unknown,2,2,Positive,0.00017099525,0.0006773289,0.9991517,0.9991517,0.9989807
0,"in air force one, no doubt.... that's a pretty penny and what about the climate change Ã°Å¸Ëœâ€¢",Neutral,2024-02-01 20:00:00,Twitter,Unknown,1,1,Neutral,0.014654854,0.9786847,0.0066604232,0.9786847,-0.007994431
-1,👂🏻💩👂🏻Al Gore to campaign for 〽️HilLIARy Global Warming Climate Change HOAXER❗️,Negative,2026-06-16 16:00:00,Twitter,Unknown,0,0,Negative,0.9970709,0.0016059099,0.0013232008,0.9970709,-0.9957477
0,How will climate change actually affect you? reports,Neutral,2025-03-11 23:00:00,Twitter,Unknown,1,2,Positive,0.00013307875,0.0033164297,0.99655044,0.99655044,0.99641734
0,"Okay, wonder if it will be replaced by, 'China manufactured climate change'",Neutral,2024-07-01 01:00:00,Twitter,Unknown,1,0,Negative,0.5819299,0.03657989,0.38149023,0.5819299,-0.20043969
-1,Corals are affected by lots of things. Imaginary man-made global warming is not one them.,Negative,2024-10-05 14:00:00,Twitter,Unknown,0,0,Negative,0.99694866,0.0015129516,0.0015384165,0.99694866,-0.99541026
1,The same politicians who argue climate change is a hoax are enjoying a week of 70 degree weather in February.,Positive,2024-08-05 05:00:00,Twitter,Unknown,2,2,Positive,0.00034505583,0.00039441956,0.9992605,0.9992605,0.99891543
0,Uuuuh... fight Nazis and climate change?,Neutral,2025-05-01 02:00:00,Twitter,Unknown,1,1,Neutral,0.043136664,0.8090414,0.14782195,0.8090414,0.104685284
1,In we are takling gender inbalance to fight againts climate change empowering women with leadershiâ€¦,Positive,2026-01-08 11:00:00,Twitter,Unknown,2,2,Positive,0.00019109396,0.0003687506,0.99944013,0.99944013,0.99924904
1,Robredo: We must do something now to mitigate the impact of climate change.,Positive,2025-09-04 16:00:00,Twitter,Unknown,2,2,Positive,0.00015082514,0.00035879825,0.9994904,0.9994904,0.9993396
1,Exactly! When we look at climate change and the callousness toward life that world leaders are exhibitâ€¦,Positive,2025-11-17 04:00:00,Twitter,Unknown,2,2,Positive,0.00014302316,0.0005798018,0.9992772,0.9992772,0.9991341
1,Wow! uses our penguins in Felixstowe story to claim global warming is a myth,Positive,2025-08-09 07:00:00,Twitter,Unknown,2,1,Neutral,0.0036366521,0.87624353,0.120119825,0.87624353,0.116483174
0,I'm wearing a flight jacket in February in NYC. Life's good. Or global warming 🤷🏻‍♀️,Neutral,2024-08-03 19:00:00,Twitter,Unknown,1,1,Neutral,0.0016715362,0.9974287,0.0008997668,0.9974287,-0.00077176944
1,"Incredible photo of climate change catastrophe, global warming will make this kind of photography more frequent.",Positive,2025-03-18 21:00:00,Twitter,Unknown,2,2,Positive,0.00035486097,0.0004532888,0.9991918,0.9991918,0.99883693
-1,global warming is a Chinese hoax,Negative,2024-07-14 08:00:00,Twitter,Unknown,0,0,Negative,0.9544543,0.02930091,0.01624478,0.9544543,-0.93820953
1,and then back to nah those folks that don't 'believe' in climate change are just nuts,Positive,2024-01-29 22:00:00,Twitter,Unknown,2,2,Positive,0.00020648263,0.0007209784,0.99907255,0.99907255,0.9988661
1,Rep Lamar Smith Chairman of House science committee says climate change 'beneficial' #Senile via,Positive,2025-02-25 02:00:00,Twitter,Unknown,2,1,Neutral,0.0059634177,0.9484558,0.04558081,0.9484558,0.039617393
0,Kenya to benefit from Sh113bn AfDB climate change kitty,Neutral,2024-12-09 18:00:00,Twitter,Unknown,1,1,Neutral,0.001902767,0.92368096,0.07441632,0.92368096,0.07251355
1,"Scott Pruitt likes to ignore all science, not just climate change science. Remove him.",Positive,2024-10-27 04:00:00,Twitter,Unknown,2,2,Positive,0.00022469334,0.00028256708,0.99949276,0.99949276,0.99926805
1,So as well as splaining history to Prof Beard we get anti-vaxers and climate change deniers. Research methods should be taught at school!,Positive,2025-03-03 23:00:00,Twitter,Unknown,2,2,Positive,0.00066136324,0.00041211472,0.99892646,0.99892646,0.9982651
1,Trump botches important facts about climate change,Positive,2025-11-23 19:00:00,Twitter,Unknown,2,2,Positive,0.00019582825,0.00027294498,0.99953127,0.99953127,0.99933547
0,Al Gore is going to build a wall to stop global warming,Neutral,2024-02-05 00:00:00,Twitter,Unknown,1,2,Positive,0.015154416,0.06791367,0.91693187,0.91693187,0.90177745
1,Tax breaks for the ultra wealthy and climate change denial will not protect us from rising seas.,Positive,2024-11-29 14:00:00,Twitter,Unknown,2,2,Positive,0.00018658797,0.00032796527,0.9994854,0.9994854,0.9992988
1,Very pleased to host Prof Kevin Anderson today.CPRE will do what it can to halt climate change and protect rural arâ€¦,Positive,2025-10-04 23:00:00,Twitter,Unknown,2,2,Positive,0.00015995673,0.00028901815,0.999551,0.999551,0.999391
1,Happy Earth Day! Stop denying climate change! Science not Silence!! I love earth!,Positive,2024-11-22 13:00:00,Twitter,Unknown,2,2,Positive,0.00025365743,0.00025177107,0.99949455,0.99949455,0.9992409
1,It is so sad and OUR fault so we need to stop this climate change - will take years but we need to start!,Positive,2024-08-17 09:00:00,Twitter,Unknown,2,2,Positive,0.00026575962,0.00031537202,0.99941885,0.99941885,0.9991531
1,big picture: ': Climate Change Nightmares Are Already Here #Ocean #Fracking,Positive,2026-02-08 15:00:00,Twitter,Unknown,2,2,Positive,0.0002146443,0.00027051676,0.9995148,0.9995148,0.9993002
1,The impact of humans and climate change can be seen in this 30-year of Earth evolution. via,Positive,2024-04-28 15:00:00,Twitter,Unknown,2,2,Positive,0.00015195618,0.00062185084,0.9992262,0.9992262,0.9990743
1,Proud our young actors are using theater to speak out against climate change and in favor of the humanity of refugees andâ€¦,Positive,2025-09-28 04:00:00,Twitter,Unknown,2,2,Positive,0.00015196587,0.00036067425,0.9994873,0.9994873,0.9993353
1,“Our response to climate change bears on the future of our people and the wellbeing of mankind.',Positive,2024-07-28 06:00:00,Twitter,Unknown,2,2,Positive,0.00016104797,0.0002907144,0.99954826,0.99954826,0.9993872
1,Chelsea Clinton: 'I'm voting for the progressive who will protect our planet from climate change' #DemsInPhilly,Positive,2026-05-27 09:00:00,Twitter,Unknown,2,2,Positive,0.00024749062,0.00062070345,0.99913186,0.99913186,0.9988844
1,Investors worth $2.8 trillion are uniting against Donald Trump's climate change denial,Positive,2024-08-03 12:00:00,Twitter,Unknown,2,2,Positive,0.00017557408,0.00027354973,0.9995509,0.9995509,0.9993753
0,Hello Mr president Did you know is a potential terrorist who truly believes is global warming? Please send,Neutral,2025-03-11 13:00:00,Twitter,Unknown,1,2,Positive,0.0043729446,0.0091696745,0.9864574,0.9864574,0.98208445
0,If global warming means no snow.. I don't even mind that the world is ending.,Neutral,2026-03-25 06:00:00,Twitter,Unknown,1,1,Neutral,0.0022408164,0.9938315,0.0039275973,0.9938315,0.001686781
0,"It's a formula to apply to nearly any subject. 'Though climate change is highly speculative, I'm excited by the value potâ€¦",Neutral,2025-10-05 15:00:00,Twitter,Unknown,1,2,Positive,0.000176125,0.00077602535,0.9990478,0.9990478,0.9988717
-1,"As Sweden rolls out the carpet for Islamic rule, and even PAYS its invaders, it worries about Russia and climate change. Sweden,â€¦",Negative,2025-08-12 07:00:00,Twitter,Unknown,0,0,Negative,0.96810484,0.028969761,0.0029254607,0.96810484,-0.9651794
-1,climate change is real yes but the jury is out as to whether we r directly impact it or if its just mother nature.,Negative,2024-05-17 09:00:00,Twitter,Unknown,0,2,Positive,0.002658702,0.005875197,0.99146605,0.99146605,0.9888073
1,#ClimateChange Warming soil accellerates climate change - Shared from [ #Climate,Positive,2025-12-09 08:00:00,Twitter,Unknown,2,2,Positive,0.00026352567,0.00093373354,0.9988028,0.9988028,0.99853927
1,"Warmer tonight in Anchorage, AK than the nations capitol. But pay no attention to global climate change, riâ€¦",Positive,2025-06-04 19:00:00,Twitter,Unknown,2,2,Positive,0.23375212,0.042867452,0.7233805,0.7233805,0.48962837
1,"Yo #RVA, save the dates! We're hosting a free, five-week lecture series on local impacts of #climate change and polâ€¦",Positive,2025-10-06 10:00:00,Twitter,Unknown,2,2,Positive,0.00013321576,0.0004563865,0.9994104,0.9994104,0.9992772
1,Quebec-California set the standard for states partnering to fight climate change. I am so touched to receive this medalâ€¦,Positive,2025-11-26 14:00:00,Twitter,Unknown,2,2,Positive,0.0001637179,0.00041645925,0.9994198,0.9994198,0.9992561
1,tell me global warming isn't real,Positive,2025-02-18 05:00:00,Twitter,Unknown,2,1,Neutral,0.00096481096,0.98868793,0.010347186,0.98868793,0.009382375
0,but does it really affect any of us if trump doesn't acknowledge climate change?,Neutral,2024-02-16 14:00:00,Twitter,Unknown,1,2,Positive,0.00014652965,0.00042104785,0.9994324,0.9994324,0.9992859
1,You sound like the climate change deniers who think nothing is wrong because the weather is nice in their city,Positive,2024-09-03 07:00:00,Twitter,Unknown,2,2,Positive,0.00022932673,0.00075843354,0.99901223,0.99901223,0.99878293
-1,Hey nerds answer this. if global warming is warming up the planet how comes it still gets cold?,Negative,2025-05-21 03:00:00,Twitter,Unknown,0,0,Negative,0.528756,0.46805313,0.0031908192,0.528756,-0.5255652
1,Take a trip to Venus if you are a climate change denier.,Positive,2025-07-04 04:00:00,Twitter,Unknown,2,2,Positive,0.00031702407,0.00057797646,0.9991049,0.9991049,0.9987879
